"","strain","c_label","photo","hash","missing_file"
"1","ECA2651 | ECA2579 | ECA2561 | ECA2580 | ECA2570","C-5953","isolation_photo","bd7538da-befc-48bb-8163-010db73f86fe","bd7538da-befc-48bb-8163-010db73f86fe.jpg"
"2","ECA2577 | ECA2574 | ECA2575 | ECA2578","C-5942","isolation_photo","9dab393c-433d-4e4a-8acd-fa82d7cf8a80","9dab393c-433d-4e4a-8acd-fa82d7cf8a80.jpg"
"3","ECA2576 | ECA2676 | ECA2650 | ECA2568 | ECA2569","C-5948","isolation_photo","976e77ed-10f1-4c69-96ed-e11e085a89ce","976e77ed-10f1-4c69-96ed-e11e085a89ce.jpg"
"4","ECA2581 | ECA2571 | ECA2573 | ECA2572","C-5949","isolation_photo","05b1a0a3-f001-45a2-9228-b832b75e8fa7","05b1a0a3-f001-45a2-9228-b832b75e8fa7.jpg"
"5","ECA2567 | ECA2562 | ECA2566 | ECA2565 | ECA2563 | ECA2564","C-5783","isolation_photo","9ec21577-f935-4fd2-ab1b-5a62401bffe1","9ec21577-f935-4fd2-ab1b-5a62401bffe1.jpg"
"6","ECA2560","C-5782","isolation_photo","e7115223-c6be-44d1-956b-54d6f13bde9b","e7115223-c6be-44d1-956b-54d6f13bde9b.jpg"
"7","ECA2673 | ECA2555 | ECA2554 | ECA2674","C-5265","isolation_photo","7355c77a-d9d1-43f1-abe9-00e9d6dea5da","7355c77a-d9d1-43f1-abe9-00e9d6dea5da.jpg"
"8","ECA2549 | ECA2553 | ECA2649 | ECA2551 | ECA2550","C-5752","isolation_photo","046dbfd5-9038-44f6-91ae-586f64c878fb","046dbfd5-9038-44f6-91ae-586f64c878fb.jpg"
"9","ECA2552 | ECA2672 | ECA2648 | ECA2548","C-5750","isolation_photo","47e2b29b-698c-4f01-9681-37f7c5b6dd69","47e2b29b-698c-4f01-9681-37f7c5b6dd69.jpg"
"10","ECA2582 | ECA2547 | ECA2546","C-5551","isolation_photo","558461d3-7616-4a3f-9a7e-3ea9bc3dcb27","558461d3-7616-4a3f-9a7e-3ea9bc3dcb27.jpg"
"11","ECA2675 | ECA2558","C-5554","isolation_photo","e84547fc-f273-4a8b-9b79-d9d00375e1ac","e84547fc-f273-4a8b-9b79-d9d00375e1ac.jpg"
"12","ECA2557 | ECA2559 | ECA2556","C-5271","isolation_photo","86436936-684d-4baa-8533-42e81cb81e91","86436936-684d-4baa-8533-42e81cb81e91.jpg"
"13","ECA2654 | ECA2602 | ECA2603","C-5944","isolation_photo","be5294b0-57f8-47d6-9194-a4e1113b4484","be5294b0-57f8-47d6-9194-a4e1113b4484.jpg"
"14","ECA2657 | ECA2608 | ECA2585","C-5268","isolation_photo","4d8abac9-cf89-4081-b796-fa06975f20c7","4d8abac9-cf89-4081-b796-fa06975f20c7.jpg"
"15","ECA2652 | ECA2592 | ECA2591 | ECA2589 | ECA2594 | ECA2606","C-5960","isolation_photo","e243be5d-b504-4eec-865d-c659b766e429","e243be5d-b504-4eec-865d-c659b766e429.jpg"
"16","ECA2601 | ECA2598 | ECA2599 | ECA2600","C-5946","isolation_photo","f630aa55-d797-4df5-bc97-0a9759941a73","f630aa55-d797-4df5-bc97-0a9759941a73.jpg"
"17","ECA2660 | ECA2612 | ECA2611 | ECA2658 | ECA2659","C-5955","isolation_photo","51043167-a15f-4349-a6c1-dc393d0ef963","51043167-a15f-4349-a6c1-dc393d0ef963.jpg"
"18","ECA2653 | ECA2593 | ECA2590 | ECA2595 | ECA2605","C-5959","isolation_photo","bd061aea-07f3-4959-8bcb-4c9f5bb53511","bd061aea-07f3-4959-8bcb-4c9f5bb53511.jpg"
"19","ECA2615","C-5781","isolation_photo","0c1c6ddb-113d-4384-8d40-b7a4912d3182","0c1c6ddb-113d-4384-8d40-b7a4912d3182.jpg"
"20","ECA2583 | ECA2584 | ECA2596 | ECA2586 | ECA2597","C-5557","isolation_photo","6dde7ea0-2ee2-4259-bbbc-b67df08c94e8","6dde7ea0-2ee2-4259-bbbc-b67df08c94e8.jpg"
"21","ECA2610 | ECA2609","C-5553","isolation_photo","f1a55280-95cb-49df-bb7e-1f0dcce4c21d","f1a55280-95cb-49df-bb7e-1f0dcce4c21d.jpg"
"22","ECA2666","C-5601","isolation_photo","c6451dfb-68da-4d1d-8d89-870394c49baa","c6451dfb-68da-4d1d-8d89-870394c49baa.jpg"
"23","ECA2624 | ECA2617","C-5249","isolation_photo","d453d083-9b85-47ef-b40a-26cbef9408be","d453d083-9b85-47ef-b40a-26cbef9408be.jpg"
"24","ECA2632 | ECA2625","C-5263","isolation_photo","82af1156-799d-4bf6-b5f1-9ee36469d069","82af1156-799d-4bf6-b5f1-9ee36469d069.jpg"
"25","ECA2630 | ECA2631 | ECA2622 | ECA2629","C-5208","isolation_photo","6a5cdb02-61d7-4925-b7ae-89aafd40e03f","6a5cdb02-61d7-4925-b7ae-89aafd40e03f.jpg"
"26","ECA2663 | ECA2614 | ECA2662 | ECA2613 | ECA2661","C-5204","isolation_photo","7a762b17-43e6-453b-9e5f-69dff35ba765","7a762b17-43e6-453b-9e5f-69dff35ba765.jpg"
"27","ECA2643","C-5243","isolation_photo","99dfaab2-d698-491b-97df-2d4a2713abf9","99dfaab2-d698-491b-97df-2d4a2713abf9.jpg"
"28","ECA2641 | ECA2642 | ECA2644","C-5175","isolation_photo","749e3d2b-77a8-4b1a-a5b4-4932c0d6ae18","749e3d2b-77a8-4b1a-a5b4-4932c0d6ae18.jpg"
"29","ECA2639 | ECA2640","C-5353","isolation_photo","532880ec-45c1-4ff6-834c-78c961fb97dc","532880ec-45c1-4ff6-834c-78c961fb97dc.jpg"
"30","ECA2645 | ECA2626 | ECA2627","C-5709","isolation_photo","52b9f976-2292-445b-9d93-68a060960b9a","52b9f976-2292-445b-9d93-68a060960b9a.jpg"
"31","ECA2628 | ECA2619 | ECA2620 | ECA2621","C-5211","isolation_photo","53c1a0d5-df0c-4afd-b725-252fb26aed3d","53c1a0d5-df0c-4afd-b725-252fb26aed3d.jpg"
"32","ECA2618","C-5354","isolation_photo","fda9faff-b075-4b16-b86f-ceeb63e35290","fda9faff-b075-4b16-b86f-ceeb63e35290.jpg"
"33","ECA2670 | ECA2669","C-5192","isolation_photo","a56cf793-761a-45a3-a361-1f2c30859df4","a56cf793-761a-45a3-a361-1f2c30859df4.jpg"
"34","ECA2647 | ECA2646","C-5605","isolation_photo","a5b7ccd3-3efc-4724-b3d2-86860e7cd632","a5b7ccd3-3efc-4724-b3d2-86860e7cd632.jpg"
"35","ECA2633 | ECA2638","C-5604","isolation_photo","35744fd7-76d1-40fb-96fd-9d30a1c4917c","35744fd7-76d1-40fb-96fd-9d30a1c4917c.jpg"
"36","ECA2634 | ECA2635 | ECA2636 | ECA2668 | ECA2637","C-5197","isolation_photo","21e18757-7092-4550-ac3d-552b4a6c11f5","21e18757-7092-4550-ac3d-552b4a6c11f5.jpg"
"37","ECA2667","C-5261","isolation_photo","d4533902-1915-4b1e-9772-96b093c29ae0","d4533902-1915-4b1e-9772-96b093c29ae0.jpg"
"38","ECA2671","C-5258","isolation_photo","86bb462b-02d6-4f3d-b2c5-38fa1d3cbbd6","86bb462b-02d6-4f3d-b2c5-38fa1d3cbbd6.jpg"
"39","ECA2604","C-5699","isolation_photo","0daba832-859c-4b2d-ac50-b8e1214a72a1","0daba832-859c-4b2d-ac50-b8e1214a72a1.jpg"
